state,district,season,crop,mean_yield,median_yield,max_yield,min_yield,yield_std,mean_area,years_cultivated,yield_cv,yield_score,cv_scaled,stability_score,experience_score,historical_score
Andaman and Nicobar Island,NICOBARS,Autumn     ,Arecanut,0.7445734766242584,0.7445734766242584,0.7512641464001927,0.7378828068483241,0.009462035938486005,4150.0,2,0.012707994893109692,3.9714992009480155e-05,0.003387315252701169,0.9966126847472988,0.045454545454545456,0.30809457201110346
Andaman and Nicobar Island,NICOBARS,Autumn     ,Banana,9.507577907031731,9.507577907031731,9.69811320754717,9.31704260651629,0.26945760609976893,796.5,2,0.02834135136568065,0.0005088392033214277,0.007554385453458532,0.9924456145465415,0.045454545454545456,0.30707901305653224
Andaman and Nicobar Island,NICOBARS,Autumn     ,Black pepper,0.054558183795541004,0.054558183795541004,0.0683333333333333,0.0407830342577487,0.019481003300063342,606.5,2,0.3570683982639376,2.775277712610548e-06,0.09517655947066891,0.9048234405293311,0.045454545454545456,0.2805393288885647
Andaman and Nicobar Island,NICOBARS,Autumn     ,Rice,1.8972231581187842,2.0,2.857142857142857,1.0,0.5425496432644992,1461.1018181818183,11,0.285970388323992,0.00010692378806977832,0.0762253893189673,0.9237746106810327,0.45454545454545453,0.3680949360074356
Andaman and Nicobar Island,NICOBARS,Autumn     ,Sugarcane,8.059707389067787,3.233830845771144,33.90909090909091,0.6060606060606061,10.12551722165714,27.985833333333332,12,1.2563132546711835,0.00017297646749171792,0.33487022032293284,0.6651297796770672,0.49999999999999994,0.299625422136866
Andaman and Nicobar Island,NICOBARS,Autumn     ,Sweet potato,5.538461538461538,5.538461538461538,5.538461538461538,5.538461538461538,0.0,65.0,1,0.0,0.00029635402192066345,0.0,1.0,0.0,0.3001481770109603
Andaman and Nicobar Island,NICOBARS,Autumn     ,Tapioca,7.851851851851852,7.851851851851852,7.851851851851852,7.851851851851852,0.0,108.0,1,0.0,0.0004202005194141568,0.0,1.0,0.0,0.30021010025970707
Andaman and Nicobar Island,NICOBARS,Kharif     ,Arecanut,1.5460855480530837,1.594896331738437,1.6435406698564594,1.3998196425643548,0.12898393015823123,1649.2,3,0.08342612756496878,8.523671254881504e-05,0.022237229142091766,0.9777627708579082,0.0909090909090909,0.31155326779546505
Andaman and Nicobar Island,NICOBARS,Kharif     ,Banana,8.891938659824572,8.891938659824572,8.891938659824572,8.891938659824572,0.0,837.95,1,0.0,0.00047588118320488306,0.0,1.0,0.0,0.3002379405916024
Andaman and Nicobar Island,NICOBARS,Kharif     ,Black pepper,0.0573519772776928,0.0573519772776928,0.0573519772776928,0.0573519772776928,0.0,366.16,1,0.0,2.9248424166217697e-06,0.0,1.0,0.0,0.3000014624212083
Andaman and Nicobar Island,NICOBARS,Kharif     ,Dry chillies,1.8790100824931255,1.8790100824931255,1.8790100824931255,1.8790100824931255,0.0,218.2,1,0.0,0.00010044663744434256,0.0,1.0,0.0,0.30005022331872216
Andaman and Nicobar Island,NICOBARS,Kharif     ,Other Kharif pulses,0.5,0.5,0.5,0.5,0.0,2.0,2,0.0,2.662184111125093e-05,0.0,1.0,0.045454545454545456,0.3091042200114647
Andaman and Nicobar Island,NICOBARS,Kharif     ,Rice,3.0421375759488583,2.9812851542525998,5.741626794258374,1.3789195315451457,1.427816828103627,1116.4257142857143,7,0.46934656716117895,0.00015945652700843343,0.1251042984452254,0.8748957015547746,0.2727272727272727,0.31709389327539117
Andaman and Nicobar Island,NICOBARS,Kharif     ,Sugarcane,19.990610328638496,19.990610328638496,19.990610328638496,19.990610328638496,0.0,106.5,1,0.0,0.0010700444789776874,0.0,1.0,0.0,0.30053502223948886
Andaman and Nicobar Island,NICOBARS,Rabi       ,Arecanut,0.7473386068344681,0.7290359383913292,1.7055084745762712,0.0934158694428812,0.6045064505202625,885.0,11,0.808878927158326,3.8883195628782305e-05,0.21560662800057873,0.7843933719994213,0.45454545454545453,0.3262465441067317
Andaman and Nicobar Island,NICOBARS,Rabi       ,Banana,8.891611604603334,8.891611604603334,8.891611604603334,8.891611604603334,0.0,685.59,1,0.0,0.0004758636744241975,0.0,1.0,0.0,0.3002379318372121
